#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
67,Costa Rica,"1,058,467",,"8,867 ",,"860,711",,"188,889",52,"203,723","1,707","4,659,757","896,865","5,195,608 ",North America,55861,,,"36,356"
68,UAE,"1,018,779",,"2,342 ",,"998,341",,"18,096",,"100,361",231,"185,966,850","18,319,796","10,151,142 ",Asia,"104,3340",,,"1,783"
69,Nepal,"998,432",,"12,010 ",,"983,949",,"2,473",,"32,973",397,"5,903,641","194,966","30,280,390 ",Asia,"302,5215",,,82
70,Ecuador,"997,791",,"35,873 ",,"955,982","+1,195","5,936",759,"54,741","1,968","3,082,403","169,106","18,227,654 ",South America,185086,,,326
71,Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,272",754,"13,646,641","1,445,229","9,442,545 ",Europe,"91,3271",,,141
72,Panama,"981,822",,"8,480 ",,"968,108",,"5,234",16,"219,992","1,900","6,976,985","1,563,302","4,462,981 ",North America,55261,,,"1,173"
73,Uruguay,"981,186",,"7,455 ",,"971,994",,"1,737",18,"280,340","2,130","6,114,822","1,747,097","3,499,989 ",South America,44691,,,496
74,Mongolia,"980,442",,"2,179 ",,"974,572",,"3,691",192,"288,918",642,"4,030,048","1,187,582","3,393,491 ",Asia,"31,5571",,,"1,088"
75,Latvia,"904,983",,"5,956 ",,"887,679",,"11,348",6,"491,637","3,236","7,560,650","4,107,361","1,840,756 ",Europe,23090,,,"6,165"
76,Azerbaijan,"816,985",,"9,843 ",,"804,115",,"3,027",,"79,023",952,"7,184,639","694,936","10,338,568 ",Asia,"131,0501",,,293
77,Saudi Arabia,"814,192",,"9,312 ",,"801,370",,"3,510",39,"22,618",259,"44,173,879","1,227,156","35,996,958 ",Asia,"443,8661",,,98
78,Paraguay,"715,569",,"19,494 ",,"694,192",,"1,883",7,"97,706","2,662","2,657,506","362,863","7,323,708 ",South America,103763,,,257
79,Bahrain,"673,314",,"1,518 ",,"670,178",,"1,618",1,"367,796",829,"10,303,771","5,628,403","1,830,674 ",Asia,"31,2060",,,884
80,Sri Lanka,"670,341",,"16,724 ",,"652,979",,638,,"31,021",774,"6,486,117","300,157","21,609,097 ",Asia,"321,2923",,,30
81,Kuwait,"657,745",,"2,563 ",,"654,870",,312,3,"149,203",581,"8,350,287","1,894,182","4,408,386 ",Asia,"71,7201",,,71
82,Dominican Republic,"640,064",,"4,384 ",,"634,640",,"1,040",19,"57,740",395,"3,631,917","327,635","11,085,258 ",North America,"172,5293",,,94
83,Palestine,"620,371",,"5,402 ",,"606,702",,"8,267",17,"115,736","1,008","3,078,533","574,330","5,360,212 ",Asia,99922,,,"1,542"
84,Myanmar,"616,210",,"19,442 ",,"594,071",,"2,697",,"11,162",352,"8,814,237","159,662","55,205,544 ",Asia,"902,8396",,,49
85,Estonia,"598,580",,"2,657 ",,"524,990",,"70,933",2,"450,575","2,000","3,511,494","2,643,240","1,328,481 ",Europe,25000,,,"53,394"
86,Moldova,"579,054",,"11,783 ",,"504,142",,"63,129",49,"144,276","2,936","3,216,305","801,368","4,013,520 ",Europe,73411,,,"15,729"
87,Cyprus,"578,030",,"1,172 ",,"572,647",+305,"4,211",60,"471,271",956,"9,572,310","7,804,358","1,226,534 ",Asia,"21,0470",,,"3,433"
88,Venezuela,"543,204",,"5,804 ",,"535,759",,"1,641",36,"19,221",205,"3,359,014","118,860","28,260,265 ",South America,"524,8698",,,58
89,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,840",231,"3,693,367","34,664","106,546,324 ",Africa,"2074,32929",,,458
90,Libya,"506,881",,"6,437 ",,"500,418",,26,101,"71,642",910,"2,480,540","350,598","7,075,175 ",Africa,"141,0993",,,4
91,Ethiopia,"493,316",,"7,572 ",,"471,694",,"14,050",4,"4,071",62,"5,221,550","43,090","121,178,177 ",Africa,"24616,00323",,,116
92,Réunion,"463,155",,874 ,,"418,572",,"43,709",10,"509,381",961,"1,603,660","1,763,715","909,251 ",Africa,"21,0401",,,"48,071"
93,Honduras,"454,779",,"10,989 ",,N/A,N/A,N/A,105,"44,376","1,072","1,509,607","147,302","10,248,355 ",North America,239337,,,"30,370"
94,Armenia,"436,727",,"8,662 ",,"423,359",,"4,706",,"146,783","2,911","3,191,200","1,072,556","2,975,323 ",Asia,73431,,,"1,582"
95,Qatar,"434,153",,681 ,,"428,756",,"4,716",3,"154,624",243,"3,893,405","1,386,637","2,807,805 ",Asia,"64,1231",,,"1,680"
96,Oman,"397,846",,"4,260 ",,"384,669",,"8,917",2,"73,811",790,"25,000,000","4,638,167","5,390,060 ",Asia,"141,2650",,,"1,654"
97,Bosnia and Herzegovina,"396,873",,"16,086 ",,"375,436",,"5,351",,"122,630","4,970","1,848,636","571,213","3,236,334 ",Europe,82012,,,"1,653"
98,North Macedonia,"341,370",,"9,503 ",,"330,602",,"1,265",,"163,869","4,562","2,120,873","1,018,091","2,083,187 ",Europe,62191,,,607
99,Kenya,"338,271",,"5,674 ",,"332,499",,98,2,"6,002",101,"3,864,749","68,577","56,356,059 ",Africa,"1679,93215",,,2
100,Zambia,"333,180",,"4,017 ",,"328,810",,353,1,"17,079",206,"3,711,561","190,262","19,507,603 ",Africa,"594,8565",,,18
101,Albania,"330,687",,"3,583 ",,"324,059",,"3,045",,"115,184","1,248","1,941,032","676,095","2,870,945 ",Europe,98011,,,"1,061"
102,Botswana,"325,911",,"2,778 ",,"322,955",,178,1,"132,741","1,131","2,026,898","825,538","2,455,244 ",Africa,88841,,,72
103,Luxembourg,"288,658",,"1,123 ",,"283,668",,"3,867",,"445,322","1,732","4,402,293","6,791,555","648,201 ",Europe,25770,,,"5,966"
104,Montenegro,"276,929",,"2,778 ",,"272,960",,"1,191",6,"440,802","4,422","2,604,146","4,145,152","628,239 ",Europe,22260,,,"1,896"
105,Algeria,"270,507",,"6,879 ",,"182,144",,"81,484",6,"5,935",151,"230,861","5,065","45,578,976 ",Africa,"1686,626197",,,"1,788"
106,Nigeria,"264,299",,"3,154 ",,"257,629",,"3,516",11,"1,216",15,"5,441,162","25,041","217,289,627 ",Africa,"82268,89340",,,16
107,Zimbabwe,"256,834",,"5,596 ",,"251,055",,183,12,"16,748",365,"2,489,960","162,371","15,335,043 ",Africa,"602,7406",,,12
108,Uzbekistan,"243,893",,"1,637 ",,"241,486",,770,23,"7,064",47,"1,377,915","39,908","34,527,638 ",Asia,"14221,09225",,,22
109,Mozambique,"230,150",,"2,221 ",,"227,842",,87,11,"6,939",67,"1,371,127","41,341","33,166,537 ",Africa,"14414,93324",,,3
110,Brunei ,"223,059",,225 ,,"219,561",,"3,273",3,"499,439",504,"717,784","1,607,151","446,619 ",Asia,"21,9851",,,"7,328"
111,Martinique,"219,529",,"1,036 ",,N/A,N/A,N/A,8,"585,989","2,765","828,928","2,212,658","374,630 ",North America,23620,,,"582,946"
112,Laos,"214,835",+94,757 ,,N/A,N/A,N/A,,"28,622",101,"1,233,207","164,298","7,505,933 ",Asia,"359,9156",13,,"27,501"
113,Kyrgyzstan,"205,835",,"2,991 ",,"196,406",,"6,438",131,"30,453",443,"1,907,195","282,168","6,759,078 ",Asia,"332,2604",,,952
114,Iceland,"205,009",,213 ,,N/A,N/A,N/A,2,"592,385",615,"1,996,384","5,768,662","346,074 ",Europe,"21,6250",,,"373,073"
115,El Salvador,"201,785",,"4,226 ",,"179,410",,"18,149",8,"30,771",644,"2,610,114","398,029","6,557,598 ",North America,"321,5523",,,"2,768"
116,Afghanistan,"195,298",,"7,786 ",,"173,127",,"14,385","1,124","4,782",191,"1,079,297","26,426","40,841,579 ",Asia,"2095,24638",,,352
117,Guadeloupe,"191,997",,986 ,,N/A,N/A,N/A,19,"479,665","2,463","938,039","2,343,498","400,273 ",North America,24060,,,"471,581"
118,Maldives,"184,924",,308 ,,"163,687",,"20,929",25,"329,445",549,"2,213,831","3,943,980","561,319 ",Asia,"31,8220",,,"37,285"
119,Trinidad and Tobago,"180,549",,"4,166 ",,"171,062",,"5,321",18,"128,106","2,956","825,178","585,493","1,409,373 ",North America,83382,,,"3,775"
120,Uganda,"169,396",,"3,628 ",,"100,431",,"65,337",3,"3,465",74,"3,012,408","61,611","48,893,833 ",Africa,"28913,47716",,,"1,336"
121,Namibia,"169,253",,"4,065 ",,"164,813",,375,,"64,079","1,539","1,062,663","402,323","2,641,319 ",Africa,166502,,,142
122,Ghana,"168,580",,"1,459 ",,"167,080",,41,2,"5,189",45,"2,496,486","76,842","32,488,380 ",Africa,"19322,26813",,,1
123,Jamaica,"150,401",,"3,269 ",,"97,212",,"49,920",,"50,312","1,094","1,173,864","392,681","2,989,361 ",North America,209143,,,"16,699"
124,Cambodia,"137,689",,"3,056 ",,"134,553",,80,,"7,994",177,"3,053,860","177,304","17,223,851 ",Asia,"1255,6366",,,5
125,Rwanda,"132,471",,"1,466 ",,"130,901",,104,,"9,703",107,"5,775,188","423,001","13,652,903 ",Africa,"1039,3132",,,8
126,Cameroon,"121,652",,"1,935 ",,"118,616",,"1,101",13,"4,347",69,"1,751,774","62,590","27,987,933 ",Africa,"23014,46416",,,39
127,Malta,"114,206",,802 ,,"112,917",,487,4,"257,158","1,806","2,048,751","4,613,182","444,108 ",Europe,45540,,,"1,097"
128,Angola,"102,636",,"1,917 ",,"100,437",,282,,"2,924",55,"1,499,795","42,732","35,097,633 ",Africa,"34218,30923",,,8
129,Barbados,"101,747",,556 ,,"100,534",,657,,"353,114","1,930","758,505","2,632,400","288,142 ",North America,35180,,,"2,280"
130,French Guiana,"93,837",,409 ,,"11,254",,"82,174",3,"297,351","1,296","651,257","2,063,702","315,577 ",South America,37720,,,"260,393"
